Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flowerâ€™s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
3,,,BC,BC,Late Predynastic,Hou,Male,183,182,129,138,116,126,105,107,73,53,25,103,68,E F,1385
3,,,BC,BC,Late Predynastic,Hou,Male,181,179,131,123,,125,101,101,74,51,22,100,68,C,1240
3,,,BC,BC,Late Predynastic,Hou,Male,182,180,129,130,115,126,102,105,67,47,25,103,68,E F,1300
3,,,BC,BC,Late Predynastic,Hou,Male,182,179,,132,,,,,,48,24,,,,
3,,,BC,BC,Late Predynastic,Hou,Male,181,179,130,134,117,127,101,93,70,54,20,92,74.5,A,1340
3,,,BC,BC,Late Predynastic,Hou,Male,182,181,136,137,113,,99,106,69,49,24,107,64.5,F G,1440
3,,,BC,BC,Late Predynastic,Hou,Male,183,183,131,126,115,124,103,100,70,48,27,97,71.5,B C,1285
3,,,BC,BC,Late Predynastic,Hou,Male,189,187,136,135,119,,107,97,67,52,25,91,79,A,1475
3,,,BC,BC,Late Predynastic,Hou,Male,196,193,,134,,,,,,,,,,,
3,,,BC,BC,Late Predynastic,Hou,Male,185,184,126,129,113,125,94,91,70,50,25,97,69.5,B,1280
3,,,BC,BC,Late Predynastic,Hou,Male,193,192,139,134,119,131,103,101,69,49,29,98,71.5,C D,1530
3,,,BC,BC,Late Predynastic,Hou,Male,179,177,134,131,119,134,99,90,74,53,27,91,73,- A,1340
3,,,BC,BC,Late Predynastic,Hou,Male,188,187,,131,116,125,,,,49,27,,,,
3,,,BC,BC,Late Predynastic,Hou,Male,173,172,130,132,111,121,100,104,69,50,21,104,66.5,E,1260
3,,,BC,BC,Late Predynastic,Hou,Male,188,187,129,135,115,129,,,,,,,,,1390
3,,,BC,BC,Late Predynastic,Hou,Male,185,182,132,130,116,128,99,93,77,52,23,94,70,A,1350
3,,,BC,BC,Late Predynastic,Hou,Male,183?,179?,,134,,,,,,51,29,,,,
3,,,BC,BC,Late Predynastic,Hou,Male,178,175,132,135,121,135,102,98,68,54,26,96,72.5,B C,1350
3,,,BC,BC,Late Predynastic,Hou,Male,181,181,128,130,118,124,101,101,72,51,27,100,68.5,C,1280
3,,,BC,BC,Late Predynastic,Hou,Male,185,182,129,128,114,122,101,97,71,53,30,96,71.5,B,1300
3,,,BC,BC,Late Predynastic,Hou,Male,185,183,129,135,,,102,97,66,49,27,95,74.5,B C,1370
3,,,BC,BC,Late Predynastic,Hou,Male,199,196,135,138,123,135,104,106,70,51,25,102,68.5,D E,1580
3,,,BC,BC,Late Predynastic,Hou,Male,191,190,137,135,116,127,105,100,77,54,26,95,71,A B,1500
3,,,BC,BC,Late Predynastic,Hou,Male,185,184,140,133,117,133,109,103,72,53,28,94.5,74.5,A B,1465
3,,,BC,BC,Late Predynastic,Hou,Male,179,176,128,131,118,131,99,98,77,51,25,99,67,B,1280
3,,,BC,BC,Late Predynastic,Hou,Male,187,185,130,131,119,128,105,95,73,54,23,90.5,75.5,- A,1350
3,,,BC,BC,Late Predynastic,Hou,Male,173,173,122,130,101,114,95,96,66,47,26,101,69,D E,1170
3,,,BC,BC,Late Predynastic,Hou,Male,182,180,130,135,114,124,97,92,77,52,23,95,69,A,1360
3,,,BC,BC,Late Predynastic,Hou,Male,180,179,133,137,124,136,100,97,75,52,25,97,69,A B,1395
3,,,BC,BC,Late Predynastic,Hou,Male,183,180,137,135,112,132,102,98,69,49,24,96,72.5,B C,1440
3,,,BC,BC,Late Predynastic,Hou,Male,194,193,136,138,122,131,101,91,74,55,25,90,74,- A,1550
3,,,BC,BC,Late Predynastic,Hou,Male,190,188,138,,,,108,101,68,52,25,93.5,76.5,B,
3,,,BC,BC,Late Predynastic,Hou,Male,187,186,,134,,,,,,,,,,,
3,,,BC,BC,Late Predynastic,Hou,Male,183,182,137,130,119,129,104,103,72,52,26,99,70,C D,1385
3,,,BC,BC,Late Predynastic,Hou,Male,187,186,139,139,122,133,109,101,71,51,25,93,76.5,B,1535
3,,,BC,BC,Late Predynastic,Hou,Male,183,182,131,129?,,,105,98,72,53,27,93,74,A B,1315
3,,,BC,BC,Late Predynastic,Hou,Male,179,176,125,128,119,,97,97,68,47,28,100,69,C,1220
3,,,BC,BC,Late Predynastic,Hou,Male,179,176,132,131,118,,99,97,63,48,23,98,72.5,D,1320
3,,,BC,BC,Late Predynastic,Hou,Male,186,183,131,135,115,,107,97,68,50,27,92.5,77,A,1400
3,,,BC,BC,Late Predynastic,Hou,Male,182,177,134,129,114,,,,,,,,,,1340
3,,,BC,BC,Late Predynastic,Hou,Male,179,179,135,136,109,117,102,97,65,48,23,95,75,B C,1400
3,,,BC,BC,Late Predynastic,Hou,Male,189,188,131,135,117,129,102,98,70,50,28,96,72,B C,1420
3,,,BC,BC,Late Predynastic,Hou,Male,183,179,126,132,,,99,100,69,,,101,68.5,D,1295
3,,,BC,BC,Late Predynastic,Hou,Male,188,186,128,135,118,130,102,94,69,52,27,92,75.2,A,1380
3,,,BC,BC,Late Predynastic,Hou,Male,174,169,132,129,112,124,106,101,65,49,26,95,76,B C,1260
3,,,BC,BC,Late Predynastic,Hou,Male,191,190,124,146,122,131,99,95,68,53,26,96,72,B C,1470
3,,,BC,BC,Late Predynastic,Hou,Male,180,178,134,127,112,124,102,99,62,48,25,97,74,C D,1300
3,,,BC,BC,Late Predynastic,Hou,Male,180,178,130,137,116,128,98,97,70,50,23,99,69.5,C,1360
3,,,BC,BC,Late Predynastic,Hou,Male,187,184,130,135,,,106,103,66,51,27,97,74,C D,1400
3,,,BC,BC,Late Predynastic,Hou,Male,183,183,136,131,118,125,104,95,71,49,26,91,76,A,1390
3,,,BC,BC,Late Predynastic,Hou,Male,175,175,128,141,109,115,91,89,64,46,26,98,70,C,1345
3,,,BC,BC,Late Predynastic,Hou,Male,187,186,139,136,116,127,100,97,78,57,26,97,68.5,A B,1500
3,,,BC,BC,Late Predynastic,Hou,Male,189,187,133,138,115,131,101,100,67,45,26,99,70,C D,1475
